Date,NC12,NC12s v2,NC12s v3,NC24,NC24r,NC24rs v2,NC24rs v3,NC24s v2,NC24s v3,NC6,NC6s v2,NC6s v3
2/24/2020,$0.24552,$0.54482,$1.20625,$0.49104,$0.54014,$1.19861,$2.65375,$1.08965,$2.41250,$0.12276,$0.27241,$0.60313
2/25/2020,$0.24552,$0.54482,$1.20625,$0.49104,$0.54014,$1.19861,$2.65375,$1.08965,$2.41250,$0.12276,$0.27241,$0.60313
2/26/2020,$0.24552,$0.82800,$1.20625,$0.49104,$0.54014,$1.82160,$2.65375,$1.65600,$2.41250,$0.12276,$0.41400,$0.60313
2/27/2020,$0.24552,$0.82800,$1.20625,$0.49104,$0.54014,$1.82160,$2.65375,$1.65600,$2.41250,$0.12276,$0.41400,$0.60313
2/28/2020,$0.24552,$0.82800,$1.20625,$0.49104,$0.54014,$1.82160,$2.65375,$1.65600,$2.41250,$0.12276,$0.41400,$0.60313
2/29/2020,$0.24552,$0.82800,$1.20625,$0.49104,$0.54014,$1.82160,$2.65375,$1.65600,$2.41250,$0.12276,$0.41400,$0.60313
3/1/2020,$0.24552,$0.54482,$1.20625,$0.49104,$0.54014,$1.19861,$2.65375,$1.08965,$2.41250,$0.12276,$0.27241,$0.60313
3/2/2020,$0.24552,$0.51543,$1.20625,$0.49104,$0.54014,$1.19861,$2.65375,$1.08965,$2.41250,$0.12276,$0.25771,$0.60313
3/3/2020,$0.24552,$0.51543,$1.20625,$0.49104,$0.54014,$1.13395,$2.65375,$1.03086,$2.41250,$0.12276,$0.25771,$0.60313
3/4/2020,$0.24552,$0.51543,$1.20625,$0.49104,$0.54014,$1.13395,$2.65375,$1.03086,$2.41250,$0.12276,$0.25771,$0.60313
3/5/2020,$0.24552,$0.51543,$1.20625,$0.49104,$0.54014,$1.13395,$2.65375,$1.03086,$2.41250,$0.12276,$0.25771,$0.60313
3/6/2020,$0.24552,$0.51543,$1.20625,$0.49104,$0.54014,$1.13395,$2.65375,$1.03086,$2.41250,$0.12276,$0.25771,$0.60313
3/7/2020,$0.24552,$0.51543,$1.20625,$0.49104,$0.54014,$1.82160,$2.65375,$1.03086,$2.41250,$0.12276,$0.25771,$0.60313
3/8/2020,$0.24552,$0.51543,$1.20625,$0.49104,$0.54014,$1.13395,$2.65375,$1.03086,$2.41250,$0.12276,$0.25771,$0.60313
3/9/2020,$0.24552,$0.51543,$1.20625,$0.49104,$0.54014,$1.13395,$2.65375,$1.03086,$2.41250,$0.12276,$0.25771,$0.60313
3/10/2020,$0.24552,$0.51543,$1.33661,$0.49104,$0.54014,$1.13395,$2.65375,$1.03086,$2.41250,$0.12276,$0.25771,$0.60313
3/11/2020,$0.24552,$0.82800,$1.20625,$0.49104,$0.54014,$1.82160,$2.65375,$1.65600,$2.41250,$0.12276,$0.41400,$0.60313
3/12/2020,$0.24552,$0.54482,$1.20625,$0.49104,$0.54014,$1.19861,$2.65375,$1.08965,$2.41250,$0.12276,$0.27241,$0.60313
3/13/2020,$0.24552,$0.54482,$1.20625,$0.49104,$0.54014,$1.19861,$2.65375,$1.08965,$2.41250,$0.12276,$0.27241,$0.60313
3/14/2020,$0.24552,$0.51543,$1.20625,$0.49104,$0.54014,$1.13395,$2.65375,$1.03086,$2.41250,$0.12276,$0.25771,$0.60313
3/15/2020,$0.24552,$0.51543,$1.20625,$0.49104,$0.54014,$1.13395,$2.65375,$1.03086,$2.41250,$0.12276,$0.25771,$0.60313
3/16/2020,$0.24552,$0.51543,$1.20625,$0.49104,$0.54014,$1.13395,$2.65375,$1.03086,$2.41250,$0.12276,$0.25771,$0.60313
3/17/2020,$0.24552,$0.51543,$1.20625,$0.49104,$0.54014,$1.13395,$2.65375,$1.03086,$2.41250,$0.12276,$0.25771,$0.60313
3/18/2020,$0.24552,$0.51543,$1.20625,$0.49104,$0.54014,$1.13395,$2.65375,$1.03086,$2.41250,$0.12276,$0.25771,$0.60313
3/19/2020,$0.24552,$0.54482,$1.20625,$0.49104,$0.54014,$1.19861,$2.65375,$1.08965,$2.41250,$0.12276,$0.27241,$0.60313
3/20/2020,$0.24552,$0.51543,$1.20625,$0.49104,$0.54014,$1.13395,$2.65375,$1.03086,$2.41250,$0.12276,$0.25771,$0.60313
3/21/2020,$0.24552,$0.82800,$1.20625,$0.49104,$0.54014,$1.82160,$2.65375,$1.65600,$2.41250,$0.12276,$0.41400,$0.60313
3/22/2020,$0.24552,$0.82800,$1.20625,$0.49104,$0.54014,$1.82160,$2.65375,$1.65600,$2.41250,$0.12276,$0.41400,$0.60313
3/23/2020,$0.24552,$0.51543,$1.20625,$0.49104,$0.54014,$1.13395,$2.65375,$1.03086,$2.41250,$0.12276,$0.25771,$0.60313